year,name,rating,category,engine,detail_url
2023,Aprilia Tuono V4 1100 Factory,Show rating,Naked bike,1077 ccm,https://bikez.com/motorcycles/aprilia_tuono_v4_1100_factory_2023.php
2023,Arch 1s,-,Allround,2032 ccm,https://bikez.com/motorcycles/arch_1s_2023.php
2023,Arch KRGT-1,-,Sport,2032 ccm,https://bikez.com/motorcycles/arch_krgt-1_2023.php
2023,Arch Method 143,-,Sport,2343 ccm,https://bikez.com/motorcycles/arch_method_143_2023.php
2023,Archive Outback,-,Allround,125 ccm,https://bikez.com/motorcycles/archive_outback_2023.php
2023,Arctic Cat Alterra 300,-,ATV,270 ccm,https://bikez.com/motorcycles/arctic_cat_alterra_300_2023.php
2023,Arctic Cat Alterra 450,-,ATV,433 ccm,https://bikez.com/motorcycles/arctic_cat_alterra_450_2023.php
2023,Arctic Cat Alterra 600,-,ATV,600 ccm,https://bikez.com/motorcycles/arctic_cat_alterra_600_2023.php
2023,Arctic Cat Alterra 600 Black Hills,-,ATV,600 ccm,https://bikez.com/motorcycles/arctic_cat_alterra_600_black_hills_2023.php
2023,Arctic Cat Alterra 600 Mud Pro,-,ATV,600 ccm,https://bikez.com/motorcycles/arctic_cat_alterra_600_mud_pro_2023.php
2023,Arctic Cat Alterra 600 TRV,-,ATV,600 ccm,https://bikez.com/motorcycles/arctic_cat_alterra_600_trv_2023.php
2023,Arctic Cat Alterra 90,-,ATV,90 ccm,https://bikez.com/motorcycles/arctic_cat_alterra_90_2023.php
2023,Ariel Ace,-,Naked bike,1237 ccm,https://bikez.com/motorcycles/ariel_ace_2023.php
2023,Askoll NGS3,-,Scooter,Electric,https://bikez.com/motorcycles/askoll_ngs3_2023.php
2023,Ather 450 Plus,-,Scooter,Electric,https://bikez.com/motorcycles/ather_450_plus_2023.php
2023,Atlas Honda Pridor,-,Allround,97 ccm,https://bikez.com/motorcycles/atlas_honda_pridor_2023.php
2023,Bajaj Avenger 160 Street,-,Custom/cruiser,160 ccm,https://bikez.com/motorcycles/bajaj_avenger_160_street_2023.php
2023,Bajaj Avenger 220 Cruise,-,Custom/cruiser,220 ccm,https://bikez.com/motorcycles/bajaj_avenger_220_cruise_2023.php
2023,Bajaj CT 125X,-,Allround,124 ccm,https://bikez.com/motorcycles/bajaj_ct_125x_2023.php
2023,Bajaj Dominar 250,-,Allround,249 ccm,https://bikez.com/motorcycles/bajaj_dominar_250_2023.php
